Entity,Code,Day,new_vaccinations_smoothed_per_million
Kosovo,OWID_KOS,2021-04-18,0.058300000000000005
Kosovo,OWID_KOS,2021-04-19,0.0611
Kosovo,OWID_KOS,2021-04-20,0.06380000000000001
Kosovo,OWID_KOS,2021-04-21,0.0666
Kosovo,OWID_KOS,2021-04-22,0.0653
Kosovo,OWID_KOS,2021-04-23,0.06420000000000001
Kosovo,OWID_KOS,2021-04-24,0.061500000000000006
Kosovo,OWID_KOS,2021-04-25,0.0589
Kosovo,OWID_KOS,2021-04-26,0.0574
Kosovo,OWID_KOS,2021-04-27,0.056
Kosovo,OWID_KOS,2021-04-28,0.0546
Kosovo,OWID_KOS,2021-04-29,0.053200000000000004
Kosovo,OWID_KOS,2021-04-30,0.0517
Kosovo,OWID_KOS,2021-05-01,0.0517
Kosovo,OWID_KOS,2021-05-02,0.0517
Kosovo,OWID_KOS,2021-05-03,0.0517
Kosovo,OWID_KOS,2021-05-04,0.0517
Kosovo,OWID_KOS,2021-05-05,0.0517
Kosovo,OWID_KOS,2021-05-06,0.0517
Kosovo,OWID_KOS,2021-05-07,0.0517
Kosovo,OWID_KOS,2021-05-08,0.0517
Kosovo,OWID_KOS,2021-05-09,0.0517
Kosovo,OWID_KOS,2021-05-10,0.0517
Kosovo,OWID_KOS,2021-05-11,0.0517
Kosovo,OWID_KOS,2021-05-12,0.0517
Kosovo,OWID_KOS,2021-05-13,0.0517
Kosovo,OWID_KOS,2021-05-14,0.0517
Kosovo,OWID_KOS,2021-05-15,0.0517
Kosovo,OWID_KOS,2021-05-16,0.0517
Kosovo,OWID_KOS,2021-05-17,0.0517
Kuwait,KWT,2020-12-29,0.0262
Kuwait,KWT,2020-12-30,0.0262
Kuwait,KWT,2020-12-31,0.0262
Kuwait,KWT,2021-01-01,0.0262
Kuwait,KWT,2021-01-02,0.0262
Kuwait,KWT,2021-01-03,0.0262
Kuwait,KWT,2021-01-04,0.0262
Kuwait,KWT,2021-01-05,0.0262
Kuwait,KWT,2021-01-06,0.0262
Kuwait,KWT,2021-01-07,0.0262
Kuwait,KWT,2021-01-08,0.0262
Kuwait,KWT,2021-01-09,0.0262
Kuwait,KWT,2021-01-10,0.0262
Kuwait,KWT,2021-01-11,0.0262
Kuwait,KWT,2021-01-12,0.0262
Kuwait,KWT,2021-01-13,0.0262
Kuwait,KWT,2021-01-14,0.0262
Kuwait,KWT,2021-01-15,0.0262
Kuwait,KWT,2021-01-16,0.0262
Kuwait,KWT,2021-01-17,0.0262
Kuwait,KWT,2021-01-18,0.0262
Kuwait,KWT,2021-01-19,0.0262
Kuwait,KWT,2021-01-20,0.0262
Kuwait,KWT,2021-01-21,0.0262
Kuwait,KWT,2021-01-22,0.0262
Kuwait,KWT,2021-01-23,0.0262
Kuwait,KWT,2021-01-24,0.0262
Kuwait,KWT,2021-01-25,0.0262
Kuwait,KWT,2021-01-26,0.0262
Kuwait,KWT,2021-01-27,0.0459
Kuwait,KWT,2021-01-28,0.0656
Kuwait,KWT,2021-01-29,0.0852
